MeasurementName	MeasurementUnit	Sex	AgeMin	AgeMax	Percentile	Value
Weight	lb	Female	56	65	0.7	95.003469198
Weight	lb	Female	66	79	0.7	100.94183363
Weight	lb	Female	80	99	0.7	94.192609962
Weight	lb	Male	0	18	0.7	10.305716652
Weight	lb	Male	18	25	0.7	102.448911862
Weight	lb	Male	26	35	0.7	116.39511752
Weight	lb	Male	36	45	0.7	121.428705904
Weight	lb	Male	46	55	0.7	118.757588312
Weight	lb	Male	56	65	0.7	109.12869
Weight	lb	Male	66	79	0.7	115.061763344
Weight	lb	Male	80	99	0.7	107.70009624
Weight	lb	Female	0	18	0.8	9.92079
Weight	lb	Female	18	25	0.8	87.1706748
Weight	lb	Female	26	35	0.8	93.410631248
Weight	lb	Female	36	45	0.8	102.146217536
Weight	lb	Female	46	55	0.8	100.971596
Weight	lb	Female	56	65	0.8	97.243142656
Weight	lb	Female	66	79	0.8	101.09505472
Weight	lb	Female	80	99	0.8	94.715766288
Weight	lb	Male	0	18	0.8	10.361714
Weight	lb	Male	18	25	0.8	105.148028128
Weight	lb	Male	26	35	0.8	119.54331488
Weight	lb	Male	36	45	0.8	122.366992176
Weight	lb	Male	46	55	0.8	119.359890496
Weight	lb	Male	56	65	0.8	110.192198688
Weight	lb	Male	66	79	0.8	116.035323536
Weight	lb	Male	80	99	0.8	108.077527184
Weight	lb	Female	0	18	0.9	10.361714
Weight	lb	Female	18	25	0.9	87.56199485
Weight	lb	Female	26	35	0.9	93.659753308
Weight	lb	Female	36	45	0.9	102.376379864
Weight	lb	Female	46	55	0.9	101.171334572
Weight	lb	Female	56	65	0.9	98.159823652
Weight	lb	Female	66	79	0.9	101.41692924
Weight	lb	Female	80	99	0.9	95.063655324
Weight	lb	Male	0	18	0.9	10.582176
Weight	lb	Male	18	25	0.9	106.97587857
Weight	lb	Male	26	35	0.9	120.813176
Weight	lb	Male	36	45	0.9	122.576872
Weight	lb	Male	46	55	0.9	120.374897544
Weight	lb	Male	56	65	0.9	112.435840462
Weight	lb	Male	66	79	0.9	116.596178864
Weight	lb	Male	80	99	0.9	108.497286832
Weight	lb	Female	0	18	1	10.582176
Weight	lb	Female	18	25	1	87.6887605
Weight	lb	Female	26	35	1	94.0601123
Weight	lb	Female	36	45	1	102.58537784
Weight	lb	Female	46	55	1	101.41252
Weight	lb	Female	56	65	1	99.15498912
Weight	lb	Female	66	79	1	102.0298136
Weight	lb	Female	80	99	1	95.41154436
Weight	lb	Male	0	18	1	10.75413636
Weight	lb	Male	18	25	1	107.6185253
Weight	lb	Male	26	35	1	120.813176
Weight	lb	Male	36	45	1	122.70033072
Weight	lb	Male	46	55	1	120.52216616
Weight	lb	Male	56	65	1	115.01061616
Weight	lb	Male	66	79	1	116.92422632
Weight	lb	Male	80	99	1	108.91704648
Weight	lb	Female	0	18	1.1	10.582176
Weight	lb	Female	18	25	1.1	88.1737769
Weight	lb	Female	26	35	1.1	94.84605933
Weight	lb	Female	36	45	1.1	103.209726224
Weight	lb	Female	46	55	1.1	101.41252
Weight	lb	Female	56	65	1.1	100.229520908
Weight	lb	Female	66	79	1.1	102.21610399
Weight	lb	Female	80	99	1.1	95.759433396
Weight	lb	Male	0	18	1.1	10.903609596
Weight	lb	Male	18	25	1.1	108.625375254
Weight	lb	Male	26	35	1.1	122.13484569
Weight	lb	Male	36	45	1.1	123.638616992
Weight	lb	Male	46	55	1.1	120.592714
Weight	lb	Male	56	65	1.1	115.731085976
Weight	lb	Male	66	79	1.1	117.234636816
Weight	lb	Male	80	99	1.1	109.336806128
Weight	lb	Female	0	18	1.2	10.802638
Weight	lb	Female	18	25	1.2	88.9343708
Weight	lb	Female	26	35	1.2	95.386852616
Weight	lb	Female	36	45	1.2	103.724725456
Weight	lb	Female	46	55	1.2	101.41252
Weight	lb	Female	56	65	1.2	100.602983536
Weight	lb	Female	66	79	1.2	102.51923924
Weight	lb	Female	80	99	1.2	95.935362072
Weight	lb	Male	0	18	1.2	11.053082832
Weight	lb	Male	18	25	1.2	109.782139368
Weight	lb	Male	26	35	1.2	123.3925814
Weight	lb	Male	36	45	1.2	124.250619504
Weight	lb	Male	46	55	1.2	120.596241392
Weight	lb	Male	56	65	1.2	115.919801448
Weight	lb	Male	66	79	1.2	118.532717072
Weight	lb	Male	80	99	1.2	110.105777584
Weight	lb	Female	0	18	1.3	11.0231
Weight	lb	Female	18	25	1.3	89.9044036
Weight	lb	Female	26	35	1.3	95.799116556
Weight	lb	Female	36	45	1.3	104.192986744
Weight	lb	Female	46	55	1.3	101.695593208
Weight	lb	Female	56	65	1.3	100.974021082
Weight	lb	Female	66	79	1.3	102.99433485
