MeasurementName,MeasurementUnit,Sex,AgeMin,AgeMax,Percentile,Value
Weight,lb,Female,56,65,0.7,95.0034692
Weight,lb,Female,66,79,0.7,100.9418336
Weight,lb,Female,80,99,0.7,94.19260996
Weight,lb,Male,0,18,0.7,10.30571665
Weight,lb,Male,18,25,0.7,102.4489119
Weight,lb,Male,26,35,0.7,116.3951175
Weight,lb,Male,36,45,0.7,121.4287059
Weight,lb,Male,46,55,0.7,118.7575883
Weight,lb,Male,56,65,0.7,109.12869
Weight,lb,Male,66,79,0.7,115.0617633
Weight,lb,Male,80,99,0.7,107.7000962
Weight,lb,Female,0,18,0.8,9.92079
Weight,lb,Female,18,25,0.8,87.1706748
Weight,lb,Female,26,35,0.8,93.41063125
Weight,lb,Female,36,45,0.8,102.1462175
Weight,lb,Female,46,55,0.8,100.971596
Weight,lb,Female,56,65,0.8,97.24314266
Weight,lb,Female,66,79,0.8,101.0950547
Weight,lb,Female,80,99,0.8,94.71576629
Weight,lb,Male,0,18,0.8,10.361714
Weight,lb,Male,18,25,0.8,105.1480281
Weight,lb,Male,26,35,0.8,119.5433149
Weight,lb,Male,36,45,0.8,122.3669922
Weight,lb,Male,46,55,0.8,119.3598905
Weight,lb,Male,56,65,0.8,110.1921987
Weight,lb,Male,66,79,0.8,116.0353235
Weight,lb,Male,80,99,0.8,108.0775272
Weight,lb,Female,0,18,0.9,10.361714
Weight,lb,Female,18,25,0.9,87.56199485
Weight,lb,Female,26,35,0.9,93.65975331
Weight,lb,Female,36,45,0.9,102.3763799
Weight,lb,Female,46,55,0.9,101.1713346
Weight,lb,Female,56,65,0.9,98.15982365
Weight,lb,Female,66,79,0.9,101.4169292
Weight,lb,Female,80,99,0.9,95.06365532
Weight,lb,Male,0,18,0.9,10.582176
Weight,lb,Male,18,25,0.9,106.9758786
Weight,lb,Male,26,35,0.9,120.813176
Weight,lb,Male,36,45,0.9,122.576872
Weight,lb,Male,46,55,0.9,120.3748975
Weight,lb,Male,56,65,0.9,112.4358405
Weight,lb,Male,66,79,0.9,116.5961789
Weight,lb,Male,80,99,0.9,108.4972868
Weight,lb,Female,0,18,1,10.582176
Weight,lb,Female,18,25,1,87.6887605
Weight,lb,Female,26,35,1,94.0601123
Weight,lb,Female,36,45,1,102.5853778
Weight,lb,Female,46,55,1,101.41252
Weight,lb,Female,56,65,1,99.15498912
Weight,lb,Female,66,79,1,102.0298136
Weight,lb,Female,80,99,1,95.41154436
Weight,lb,Male,0,18,1,10.75413636
Weight,lb,Male,18,25,1,107.6185253
Weight,lb,Male,26,35,1,120.813176
Weight,lb,Male,36,45,1,122.7003307
Weight,lb,Male,46,55,1,120.5221662
