lower_bound,upper_bound,group,type
2,3,1,child
4,5,2,child
6,7,3,child
8,9,4,child
10,11,5,child
12,13,6,teenager
14,15,7,teenager
16,17,8,teenager
18,25,9,adult
26,35,10,adult
36,45,11,adult
46,60,12,adult
61,69,13,adult
70,99,14,adult
