gender,agegrp,sadj4,sadj6,sadj7,sadj20,sadj21,sadj22,sadj23,sadj31,sadj32,sadj33,dadj3,dadj14,dadj17,dadj23,fadj5,fadj8,vadj9,vadj10,vadj11,vadj12,vadj13,vadj14,vadj15,vadj16,gadj3,gadj4,gadj5,gadj6,gadj7,gadj8,gadj9,gadj10,gadj11,gadj12,gadj13,gadj14,gadj15,gadj16,gadj17,gadj18,gadj19,gadj20,gadj21,gadj22,gadj23,gadj24,gadj25,gadj26,gadj27,gadj28,gadj29,gadj30,gadj34,gadj35,gadj36,padj5,padj8,padj9,padj10,padj11,padj12,padj13,padj14,padj15,padj16
1,11,9.803333,0.660000,9.150000,3.287500,3.265000,4.040000,4.917500,0.000000,2.570000,4.445000,1.250000,1.160000,0.740000,0.260000,1.060000,0.721667,0.265000,0.640000,0.888750,0.730000,0.555000,0.230000,0.170000,0.680000,320.250000,444.825000,295.690000,212.162500,488.000000,136.000000,27.775000,97.500000,175.500000,138.280000,77.873333,230.400000,32.000000,264.500000,28.350000,56.000000,172.300000,28.500000,90.000000,56.000000,114.812500,55.130000,224.815000,45.000000,56.000000,54.967500,111.280000,51.065000,63.916667,152.500000,56.000000,1.060000,0.721667,0.265000,0.640000,0.888750,0.730000,0.555000,0.240000,0.170000,0.680000
1,12,7.920000,0.495000,6.510000,2.620000,3.120000,3.740000,4.845000,0.000000,2.122500,4.750000,1.000000,1.290000,0.728750,0.260000,1.000000,0.940000,0.380000,0.550000,0.770000,0.630000,0.560000,0.240000,0.120000,0.496667,245.000000,369.000000,249.000000,255.300000,432.250000,148.500000,41.250000,85.000000,157.500000,134.815000,80.277500,247.500000,23.500000,248.400000,28.350000,56.000000,164.000000,25.125000,85.500000,55.200000,119.000000,43.530000,219.377500,47.250000,56.190000,67.636667,83.250000,62.500000,56.000000,175.500000,56.310000,1.000000,0.940000,0.380000,0.550000,0.770000,0.630000,0.560000,0.240000,0.120000,0.496667
1,13,7.880000,0.490000,5.055000,2.325000,3.120000,3.295000,4.405000,0.000000,1.835000,3.710000,0.940000,1.200000,0.740000,0.232500,0.981667,0.764000,0.330000,0.530000,0.810000,0.655000,0.570000,0.250000,0.090000,0.470000,237.900000,368.266667,248.000000,231.866667,328.002500,128.333333,36.090000,85.000000,151.000000,127.562500,82.000000,227.770000,16.600000,257.000000,28.350000,52.000000,158.103333,20.400000,70.000000,46.140000,111.000000,44.000000,205.500000,47.125000,43.780000,164.530000,58.000000,48.880000,51.905000,175.500000,46.380000,0.981667,0.764000,0.330000,0.530000,0.810000,0.655000,0.570000,0.250000,0.090000,0.470000
1,14,7.430000,0.000000,3.080000,1.865000,2.680000,2.730000,3.730000,0.000000,1.485000,3.285000,0.750000,0.990000,0.670000,0.270000,0.740000,0.630000,0.380000,0.515000,0.815000,0.635000,0.515000,0.190000,0.080000,0.567500,187.791667,322.350000,186.750000,237.266667,244.010000,113.000000,41.250000,84.907500,144.750000,132.375000,74.437500,175.200000,15.560000,253.500000,25.710000,50.000000,157.937500,17.700000,60.000000,42.730000,120.000000,25.940000,192.377500,36.750000,40.690000,49.426667,56.505000,45.000000,36.750000,165.000000,45.000000,0.740000,0.630000,0.380000,0.515000,0.815000,0.635000,0.515000,0.190000,0.080000,0.567500
2,1,2.671667,0.495000,3.687500,1.216667,1.650000,1.716667,2.400000,0.066667,0.820000,1.996667,0.712143,0.510000,0.510000,0.091667,0.638333,0.545000,0.150000,0.280000,0.290000,0.315000,0.280000,0.100000,0.040000,0.330000,174.854167,123.000000,162.105000,15.303333,186.450000,91.000000,16.000000,42.500000,64.330000,63.250000,42.250000,83.890000,8.000000,186.000000,21.262500,29.250000,81.500000,14.085000,38.000000,25.050000,60.152500,18.190000,60.500000,22.500000,21.000000,21.750000,50.000000,22.750000,24.342500,36.562500,21.000000,0.638333,0.545000,0.150000,0.280000,0.290000,0.315000,0.280000,0.100000,0.040000,0.340000
2,2,3.450000,0.370000,4.330000,1.565000,2.730000,2.330000,2.600000,0.060000,1.385000,2.335000,0.711667,0.560000,0.670000,0.110000,0.620000,0.645000,0.170000,0.325000,0.500000,0.340000,0.330000,0.100000,0.080000,0.390000,174.121250,161.175000,155.000000,59.200000,209.000000,106.166667,18.000000,49.495000,105.000000,66.380000,51.250000,105.465000,15.780000,186.000000,24.000000,36.000000,86.000000,19.000000,55.000000,32.000000,74.000000,12.625000,42.500000,30.000000,24.500000,29.000000,55.500000,27.000000,30.000000,33.625000,24.940000,0.620000,0.645000,0.170000,0.325000,0.500000,0.340000,0.330000,0.100000,0.080000,0.390000
2,3,4.445000,0.495000,4.067500,1.710000,2.380000,3.050000,3.250000,0.105000,0.830000,2.790000,0.750714,0.610000,0.545000,0.110000,0.655000,0.710000,0.155000,0.280000,0.470000,0.385000,0.380000,0.115000,0.055000,0.390000,186.375000,200.200000,162.750000,30.990000,203.130000,106.900000,17.190000,42.750000,96.500000,71.863333,55.000000,118.900000,12.192500,186.750000,21.337500,42.000000,103.690000,15.000000,60.000000,36.000000,78.000000,18.380000,51.190000,32.975000,27.000000,30.000000,40.000000,30.000000,32.083333,35.905000,29.515000,0.655000,0.710000,0.155000,0.280000,0.470000,0.385000,0.380000,0.115000,0.055000,0.390000
2,4,5.260000,0.592500,4.460000,1.660000,2.680000,3.310000,3.600000,0.000000,1.030000,2.942500,0.833333,0.640000,0.670000,0.150000,0.665000,0.635000,0.250000,0.362500,0.538750,0.460000,0.380000,0.120000,0.060000,0.422500,205.875000,245.600000,171.417500,118.062500,221.500000,103.250000,27.500000,57.835000,105.000000,98.440000,53.660000,123.000000,12.000000,217.875000,27.736667,49.366667,123.000000,16.050000,54.000000,40.400000,83.250000,24.060000,52.250000,31.500000,36.750000,32.500000,47.250000,39.840000,34.221667,51.640000,29.875000,0.665000,0.635000,0.250000,0.362500,0.538750,0.460000,0.380000,0.120000,0.060000,0.422500
2,5,6.145000,0.990000,4.470000,2.025000,3.130000,3.012500,3.780000,0.110000,1.920000,3.180000,0.875000,0.640000,0.670000,0.130000,0.745000,0.798571,0.180000,0.388333,0.570000,0.445000,0.423667,0.110000,0.080000,0.435000,220.038333,277.085000,186.500000,109.850000,225.000000,119.500000,19.477500,65.500000,116.875000,110.250000,61.500000,121.740000,16.000000,186.490000,24.000000,50.625000,121.500000,14.500000,71.000000,40.000000,92.000000,21.940000,42.500000,38.250000,31.000000,37.062500,56.440000,37.000000,35.767500,46.125000,34.500000,0.745000,0.798571,0.180000,0.388333,0.570000,0.445000,0.423667,0.110000,0.080000,0.435000
2,6,7.550000,1.980000,4.537500,2.100000,3.725000,4.536667,3.785000,0.155000,1.590000,3.300000,0.940000,0.640000,0.680000,0.161667,0.988333,0.735000,0.380000,0.420000,0.555000,0.625000,0.490000,0.117500,0.116667,0.440000,243.470000,337.700000,248.000000,148.000000,324.517500,110.640000,39.500000,65.000000,109.062500,115.500000,68.750000,124.000000,22.196667,248.000000,28.300000,52.000000,147.937500,18.000000,55.000000,49.771667,99.840000,28.175000,46.222500,42.750000,32.985000,42.500000,53.405000,42.500000,44.750000,38.625000,40.875000,0.988333,0.735000,0.380000,0.420000,0.555000,0.625000,0.490000,0.117500,0.116667,0.440000
2,7,7.390000,1.106667,5.520000,1.895000,3.630000,3.410000,5.610000,0.000000,1.640000,3.725000,1.000000,0.735000,0.670000,0.190000,0.950000,0.812500,0.280000,0.395000,0.485000,0.580000,0.406667,0.150000,0.085000,0.620000,244.000000,345.375000,240.250000,131.892500,315.000000,127.500000,30.940000,60.750000,105.000000,116.970000,54.710000,140.500000,16.860000,317.750000,24.770000,52.000000,158.000000,16.000000,70.000000,48.625000,129.500000,44.000000,41.000000,45.657500,36.095000,40.690000,54.470000,46.125000,37.190000,52.500000,39.310000,0.950000,0.812500,0.280000,0.395000,0.485000,0.580000,0.406667,0.150000,0.085000,0.620000
2,8,7.853750,0.840000,6.476667,2.325000,3.170000,3.310000,5.030000,0.120000,1.815000,3.010000,1.000000,0.652500,0.680000,0.140000,0.971250,0.620000,0.290000,0.450000,0.570000,0.602500,0.390000,0.120000,0.146667,0.530000,244.000000,359.400000,247.500000,170.217500,341.000000,103.748000,31.795000,70.880000,105.000000,128.125000,57.385000,125.000000,31.130000,227.470000,24.000000,52.000000,153.500000,21.000000,65.000000,46.980000,112.000000,28.000000,60.000000,32.250000,34.125000,31.720000,62.690000,37.630000,38.217500,42.500000,34.220000,0.971250,0.620000,0.290000,0.450000,0.570000,0.602500,0.390000,0.120000,0.146667,0.530000
2,9,7.880000,0.687500,6.670000,2.300000,3.590000,3.225000,3.530000,0.000000,1.970000,3.425000,1.000000,0.896667,0.670000,0.170000,0.990000,0.760000,0.280000,0.535000,0.570000,0.480000,0.492500,0.175417,0.140000,0.470000,244.000000,368.000000,249.000000,183.050000,337.126667,128.065000,30.000000,84.000000,105.000000,94.880000,68.750000,171.255000,26.700000,248.400000,25.500000,52.000000,147.000000,21.250000,76.500000,41.000000,103.187500,29.315000,99.056667,41.630000,45.560000,43.560000,61.815000,42.500000,43.560000,61.815000,42.000000,0.990000,0.760000,0.280000,0.535000,0.570000,0.480000,0.492500,0.175417,0.140000,0.470000
2,10,7.880000,0.620000,6.120000,1.970000,2.680000,3.150000,4.790000,0.000000,2.050000,3.685000,1.000000,0.870000,0.670000,0.180000,0.940000,0.733333,0.280000,0.535000,0.540000,0.495000,0.477500,0.165000,0.140000,0.505000,244.000000,368.000000,248.000000,208.600000,350.750000,116.733333,30.000000,82.500000,122.000000,89.000000,73.752500,157.770000,30.000000,255.750000,26.012500,52.000000,142.628333,18.000000,69.500000,40.400000,108.560000,28.175000,177.000000,39.380000,45.750000,46.130000,56.440000,39.377500,46.130000,73.125000,43.515000,0.940000,0.733333,0.280000,0.535000,0.540000,0.495000,0.477500,0.170000,0.140000,0.505000
2,11,7.880000,0.495000,5.410000,2.280000,2.715000,3.050000,3.790000,0.000000,1.960000,3.300000,1.000000,0.780000,0.662500,0.210000,0.826667,0.710000,0.402500,0.435000,0.590000,0.430000,0.500000,0.170000,0.170000,0.470000,244.000000,368.000000,219.500000,231.375000,325.500000,120.221250,41.250000,69.970000,114.000000,86.240000,67.366667,165.900000,32.000000,248.000000,24.806250,50.000000,136.457500,20.535000,70.000000,39.696667,111.000000,26.000000,165.000000,43.000000,36.875000,48.875000,59.380000,45.500000,43.750000,131.630000,41.125000,0.826667,0.710000,0.402500,0.435000,0.590000,0.430000,0.500000,0.170000,0.170000,0.470000
2,12,7.655000,0.014167,4.592500,2.120000,2.600000,2.950000,4.330000,0.000000,1.865500,3.340000,0.855000,0.795000,0.670000,0.230000,0.783750,0.710000,0.440000,0.417500,0.540000,0.470000,0.500000,0.155000,0.090000,0.442500,214.375000,357.600000,201.905000,236.800000,323.345000,116.625000,45.928333,65.833333,113.500000,94.880000,70.000000,145.350000,17.800000,217.000000,24.150000,48.000000,133.886667,20.000000,70.000000,40.100000,111.000000,39.670000,179.250000,37.630000,40.595000,86.625000,61.000000,43.430000,41.440000,175.500000,41.440000,0.783750,0.710000,0.440000,0.417500,0.540000,0.470000,0.500000,0.160000,0.090000,0.442500
2,13,7.580000,0.000000,3.200000,2.385000,2.380000,2.450000,3.476667,0.000000,1.590000,2.830000,0.750000,0.640000,0.625000,0.190000,0.620000,0.710000,0.396667,0.445000,0.530000,0.340000,0.510000,0.150000,0.110000,0.487500,191.969167,363.500000,155.630000,212.133333,248.000000,116.714286,41.250000,69.875000,105.000000,79.860000,71.600000,116.100000,29.250000,225.205000,24.250000,43.000000,119.500000,20.400000,55.500000,36.055000,92.250000,25.410000,180.376667,31.440000,29.905000,123.500000,58.970000,39.000000,60.900000,165.000000,30.135000,0.620000,0.710000,0.396667,0.445000,0.530000,0.340000,0.510000,0.150000,0.110000,0.487500
2,14,5.433333,0.000000,3.200000,1.800000,3.132500,2.600000,3.580000,0.000000,1.390000,2.830000,0.690000,0.630000,0.650000,0.215000,0.620000,0.598750,0.380000,0.530000,0.610000,0.370000,0.470000,0.110000,0.080000,0.425000,183.000000,246.400000,155.630000,236.800000,235.785000,106.903000,41.250000,85.000000,114.000000,86.910000,68.250000,123.000000,16.000000,217.000000,23.000000,39.250000,120.750000,15.000000,63.250000,40.000000,97.000000,24.240000,190.130000,30.000000,35.437500,136.490000,54.430000,41.250000,31.125000,175.500000,36.750000,0.620000,0.598750,0.380000,0.530000,0.610000,0.370000,0.480000,0.110000,0.080000,0.425000
