variable,gender,age_min,age_max,percentile,value
Height,2,46,55,0.9,56.94699926
Height,2,56,65,0.9,56.70333771
Height,2,66,79,0.9,56.3386131
Height,2,80,99,0.9,55.71373087
Height,1,0,18,0.9,33.91844351
Height,1,18,25,0.9,61.74109633
Height,1,26,35,0.9,61.66294668
Height,1,36,45,0.9,61.82637197
Height,1,46,55,0.9,60.94822189
Height,1,56,65,0.9,61.811057
Height,1,66,79,0.9,60.99121404
Height,1,80,99,0.9,60.17767029
Height,2,0,18,1,33.25001796
Height,2,18,25,1,57.68703903
Height,2,26,35,1,57.52483421
Height,2,36,45,1,57.30239315
Height,2,46,55,1,56.97522762
Height,2,56,65,1,56.7323141
Height,2,66,79,1,56.3386131
Height,2,80,99,1,55.74491199
Height,1,0,18,1,34.0157664
Height,1,18,25,1,61.94767125
Height,1,26,35,1,61.80397038
Height,1,36,45,1,61.89255311
Height,1,46,55,1,61.13231648
Height,1,56,65,1,61.811057
Height,1,66,79,1,61.04885186
Height,1,80,99,1,60.26302467
Height,2,0,18,1.1,33.29549042
Height,2,18,25,1.1,57.72936188
Height,2,26,35,1.1,57.55290509
Height,2,36,45,1.1,57.52475547
Height,2,46,55,1.1,57.00345598
Height,2,56,65,1.1,56.74522749
Height,2,66,79,1.1,56.38766824
Height,2,80,99,1.1,55.77609311
Height,1,0,18,1.1,34.1732468
Height,1,18,25,1.1,62.02416735
Height,1,26,35,1.1,61.85570269
Height,1,36,45,1.1,61.91645076
Height,1,46,55,1.1,61.26160788
Height,1,56,65,1.1,61.811057
Height,1,66,79,1.1,61.10853694
Height,1,80,99,1.1,60.34837904
Height,2,0,18,1.2,33.34096289
Height,2,18,25,1.2,57.75199969
Height,2,26,35,1.2,57.60286575
Height,2,36,45,1.2,57.63562167
Height,2,46,55,1.2,57.03168434
Height,2,56,65,1.2,56.79247161
Height,2,66,79,1.2,56.42979425
Height,2,80,99,1.2,55.80727423
Height,1,0,18,1.2,34.18710508
Height,1,18,25,1.2,62.04712012
Height,1,26,35,1.2,61.90916729
Height,1,36,45,1.2,61.95152952
Height,1,46,55,1.2,61.34050556
Height,1,56,65,1.2,61.84223812
Height,1,66,79,1.2,61.19499368
Height,1,80,99,1.2,60.39404836
Height,2,0,18,1.3,33.5433252
Height,2,18,25,1.3,57.81203909
Height,2,26,35,1.3,57.68018863
Height,2,36,45,1.3,57.68420438
Height,2,46,55,1.3,57.0599127
Height,2,56,65,1.3,56.89073938
Height,2,66,79,1.3,56.45707773
Height,2,80,99,1.3,55.83845535
Height,1,0,18,1.3,34.2126169
Height,1,18,25,1.3,62.07007289
Height,1,26,35,1.3,61.97967914
Height,1,36,45,1.3,61.99932482
Height,1,46,55,1.3,61.41940325
Height,1,56,65,1.3,61.92223816
Height,1,66,79,1.3,61.26113544
Height,1,80,99,1.3,60.43672555
Height,2,0,18,1.4,33.58938822
Height,2,18,25,1.4,57.874047
Height,2,26,35,1.4,57.79247215
Height,2,36,45,1.4,57.71199967
